"Mean","SD","NBeads"
751,265,11
549,277,13
2173,458,6
515,348,13
7974,970,14
956,182,10
19875,1166,19
597,235,10
1692,382,10
2340,447,9
18676,2243,20
128,58,8
1957,410,13
484,150,9
506,253,16
2063,199,8
15595,1190,11
7698,935,21
8892,1133,13
2629,840,10
153,98,5
987,348,23
6121,790,18
14330,990,18
516,222,11
2004,538,18
5286,887,12
14600,1975,14
141,90,14
7063,856,19
6120,654,15
8541,892,10
380,224,12
6080,1388,9
581,264,12
1568,399,9
2211,510,14
203,102,19
1026,379,12
8618,1165,18
538,156,11
167,123,14
937,259,12
9157,1145,15
8826,1074,15
9690,810,14
2144,519,19
4215,635,18
10941,1502,12
3299,1401,6
707,281,18
287,226,16
15114,1231,17
1318,149,7
5458,890,12
12740,1410,10
1328,307,13
339,284,11
7664,794,6
874,273,11
4801,618,11
249,173,10
8642,902,14
1245,411,12
591,308,19
8784,935,12
4993,767,10
1031,326,14
2611,702,12
5001,973,13
742,160,6
9867,704,13
3669,570,8
2862,507,10
8854,1504,10
1185,308,19
1248,346,17
10969,538,7
13019,1082,10
1619,503,14
2402,554,14
321,193,9
6539,782,11
11723,1523,14
3588,815,20
297,200,15
415,179,13
1529,500,16
2380,663,10
711,306,27
662,220,9
537,286,26
595,291,12
1695,275,19
1488,494,13
224,173,9
152,132,19
17023,1462,15
12904,902,11
2896,373,8
2355,561,20
735,208,10
9962,1197,16
495,200,19
5582,449,11
6272,1089,13
7350,1238,16
716,389,8
603,234,11
1751,288,14
3650,574,20
507,314,13
3903,812,17
139,100,8
9389,1482,19
1934,586,19
1043,412,13
446,339,16
856,536,9
728,340,11
1774,604,9
252,187,11
4747,593,16
110,58,11
558,499,13
796,283,12
14083,1129,13
350,152,15
2343,542,11
743,305,17
5873,1214,12
1646,244,10
483,155,17
7036,477,9
1060,336,9
1095,244,9
290,187,5
1117,303,10
751,279,14
1517,421,16
7083,1292,11
15055,928,11
1618,468,12
3743,734,12
862,265,16
14775,1782,12
364,306,13
1002,435,12
2477,515,14
6213,1064,9
531,316,14
1340,319,11
11053,901,20
212,202,11
8373,1050,8
13098,1676,19
2390,561,10
2139,791,8
2043,871,4
259,136,8
1553,556,9
8779,1375,14
611,204,9
7800,520,15
706,209,11
2626,324,7
10055,1070,15
1445,423,7
2303,390,8
3404,778,13
552,134,7
182,139,14
189,157,14
10435,1046,12
1279,433,11
812,306,18
2307,592,13
3420,472,14
18075,2109,18
467,319,18
486,226,13
987,275,10
592,323,14
8483,1294,15
861,561,15
4753,917,14
288,185,17
4109,1008,16
6735,893,20
1700,500,13
325,239,10
4838,715,11
10742,1094,18
9557,1397,20
491,305,13
436,237,14
663,366,7
5598,643,13
2793,479,9
3229,514,16
936,477,15
10188,1252,13
1361,646,9
2102,205,8
14188,1647,8
15195,1148,16
1760,312,7
424,173,10
576,358,13
1164,640,10
8745,1311,11
3987,935,15
12328,1019,19
3468,552,7
13715,1039,15
547,367,15
2183,464,10
1180,316,12
3064,519,20
6345,683,14
4986,881,12
6977,982,17
4630,784,8
1102,306,18
11000,699,12
834,332,14
421,208,13
1714,536,11
447,158,11
302,165,17
413,283,11
4558,586,4
4812,621,13
3620,561,17
756,457,6
203,92,22
2419,540,13
11621,1428,12
9609,1828,8
871,278,13
10635,1168,17
12379,1194,20
676,251,14
5929,715,12
2997,525,7
1875,602,13
485,374,14
10971,1155,17
9842,920,14
1636,344,12
1439,424,17
12486,824,19
558,274,12
252,148,18
1560,647,6
285,218,13
722,401,14
296,165,18
3035,828,12
543,307,18
1396,407,15
9070,1063,16
719,398,10
10013,372,9
1135,503,15
195,169,11
790,284,16
9478,858,14
13031,1383,10
1363,458,18
1454,517,13
14637,825,9
751,349,16
11969,705,12
1621,702,9
605,263,9
370,248,14
3004,595,20
711,281,18
287,129,9
8797,1235,7
653,207,10
9571,796,8
750,132,12
6268,842,15
3375,380,8
211,101,16
2073,304,7
12513,848,11
12324,1277,15
4528,868,13
14257,1358,15
1644,550,22
9251,727,16
6006,758,12
17712,1866,13
2664,504,15
4284,907,12
2419,539,18
6319,726,10
11628,1020,12
3201,634,10
408,79,5
2317,630,13
7985,1413,10
742,465,10
1488,397,17
3136,846,18
190,145,10
4026,654,17
8328,1180,11
1227,452,15
261,171,10
8787,861,13
9203,1411,6
6217,1070,15
7152,957,11
1116,410,12
73,0,1
2417,797,12
627,271,12
3770,614,16
340,217,14
3903,913,11
5025,814,9
9243,1041,9
8011,1024,22
8629,540,9
3026,629,10
16767,1464,9
5845,746,8
1424,191,5
12990,850,12
508,170,14
1551,492,8
10165,1894,10
2935,423,7
1806,413,16
11014,1002,5
501,302,14
2474,549,16
10987,1165,16
148,64,7
3472,352,14
161,84,10
650,270,13
7594,607,14
1618,506,15
478,241,19
652,230,9
247,215,17
12081,1142,19
10492,1497,13
13766,1520,15
8413,869,19
18733,1825,13
9940,1356,12
6582,1037,15
20811,1715,11
