"Mean","SD","NBeads"
18357,868,10
5742,406,7
607,120,10
436,186,10
16873,1147,12
691,315,16
12475,1171,14
2233,467,16
2210,420,13
711,230,8
5088,850,13
9827,906,8
1514,334,14
2537,515,7
3518,384,10
498,212,11
6415,1184,10
10470,1415,6
256,154,13
704,394,10
1956,427,20
708,326,16
10760,800,12
2629,846,14
7364,818,15
193,82,8
671,243,11
129,141,10
8341,1245,15
2121,472,18
3714,815,16
3833,599,18
931,281,20
2390,262,15
280,64,13
1103,266,11
8978,1065,15
4020,636,18
13852,1145,19
10862,953,13
54,14,5
1346,365,22
5194,666,15
12133,1421,16
12507,1433,9
479,207,12
266,160,18
532,313,10
8880,517,5
294,191,12
12096,1473,12
3624,635,17
2637,577,10
15472,1058,11
14500,1582,18
181,108,9
9088,1275,19
8743,1151,10
537,163,13
14194,1529,6
165,138,14
6889,1053,12
11353,1340,13
5430,1131,8
2908,342,7
935,410,6
14692,1336,12
442,233,19
10363,1085,12
8777,1432,12
15186,1557,13
9495,858,10
11068,1440,15
15604,1024,11
15378,1089,8
6899,314,6
12290,1174,11
1214,137,10
13217,1257,26
5952,842,16
13595,1051,16
513,334,10
303,207,13
8848,530,9
15633,2330,9
3578,562,8
8833,1296,10
2750,393,13
1003,231,18
7976,814,14
2986,542,12
211,125,29
336,243,8
259,104,10
162,88,10
8893,921,16
14862,653,11
1247,307,17
499,238,20
1462,335,13
10250,1062,11
12085,781,13
409,255,6
1415,221,13
6466,744,14
13622,1199,10
1390,279,19
10192,1158,10
7513,638,10
11256,591,9
1133,251,20
393,196,8
10007,1309,13
4652,515,9
7647,943,16
225,197,8
1299,350,11
1996,344,21
15522,1626,13
9089,314,10
358,146,5
16064,2072,23
1577,508,18
1068,344,18
3406,444,11
9941,1468,18
703,297,12
454,214,14
230,135,14
11569,1255,19
470,219,15
471,209,10
1034,396,12
3706,640,9
8080,822,12
10330,769,9
5739,564,14
204,134,19
12457,1362,12
4894,637,18
14787,1216,11
354,263,14
272,233,12
571,242,15
1985,469,15
510,200,14
5097,886,19
15874,1316,18
722,192,12
15309,708,6
6323,733,18
